rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
11,10108435,紫外線予報,メイクを守るUVスプレーＭ,日焼け止め・UVケア(顔用),5.0,762,3234,"60ｇ・1,650円",2016/2/22 (2026/2/19追加発売),https://www.cosme.net/products/10108435/,https://www.cosme.com/products/detail.php?product_id=360822,https://cache-cdn.cosme.net/media/product/10108/skuimg_1018667.jpg,data/cosme_fix_mist_ranking_20260616/images/011_10108435.jpg
12,10210215,マキアージュ,ドラマティックミスト ＥＸ,ミスト状化粧水,5.1,1570,5422,"60ml・1,760円 (編集部調べ)",2021/8/21,https://www.cosme.net/products/10210215/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10210215?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10210/skuimg_814340.jpg,data/cosme_fix_mist_ranking_20260616/images/012_10210215.jpg
13,10294936,Wonjungyo,メイクコーティング キープミスト,,5.0,73,573,"37mL・935円 / 80ｍL・1,320円",2026/4/30 (2026/7/15追加発売),https://www.cosme.net/products/10294936/,https://www.cosme.com/products/detail.php?product_id=408346,https://cache-cdn.cosme.net/media/product/10294/skuimg_1103217.jpg,data/cosme_fix_mist_ranking_20260616/images/013_10294936.jpg
14,10291044,ケイト,メイクトップコート,,5.5,203,1474,"80ml・1,540円 (編集部調べ)",2026/2/28,https://www.cosme.net/products/10291044/,,https://cache-cdn.cosme.net/media/product/10291/skuimg_1091235.jpg,data/cosme_fix_mist_ranking_20260616/images/014_10291044.jpg
15,10245065,d'Alba(ダルバ),オールデイセラムメイクアップフィクサー,ミスト状化粧水,5.6,126,1808,"80ml・2,420円",2020/2/28,https://www.cosme.net/products/10245065/,https://www.cosme.com/products/detail.php?product_id=409509,https://cache-cdn.cosme.net/media/product/10245/skuimg_966357.jpg,data/cosme_fix_mist_ranking_20260616/images/015_10245065.jpg
16,10291691,ポール ＆ ジョー,メイクアップ フィックス ミスト,,5.2,47,1714,"50ml・2,420円",2026/5/1,https://www.cosme.net/products/10291691/,https://www.cosme.com/products/detail.php?product_id=408564,https://cache-cdn.cosme.net/media/product/10291/skuimg_1097207.jpg,data/cosme_fix_mist_ranking_20260616/images/016_10291691.jpg
17,10187749,シュウ ウエムラ,アンリミテッド メイクアップ フィックス ミスト,ミスト状化粧水,5.5,634,4868,"100ml・4,620円",2020/2/26,https://www.cosme.net/products/10187749/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10187749?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10187/skuimg_980282.jpg,data/cosme_fix_mist_ranking_20260616/images/017_10187749.jpg
18,10264698,コーセーコスメニエンス,メイク キープ ミスト EX ＋ モイスト TEA,ミスト状化粧水,5.2,648,2148,"80ml・1,430円 (編集部調べ)",2024/11/16 (2025/9/16追加発売),https://www.cosme.net/products/10264698/,,https://cache-cdn.cosme.net/media/product/10264/skuimg_1008265.jpg,data/cosme_fix_mist_ranking_20260616/images/018_10264698.jpg
19,10209552,イグニス,サニーサワー さらさらミスト,ミスト状化粧水,5.6,153,900,"50ml・2,530円",2021/6/18,https://www.cosme.net/products/10209552/,https://www.cosme.com/products/detail.php?product_id=404660,https://cache-cdn.cosme.net/media/product/10209/skuimg_812134.jpg,data/cosme_fix_mist_ranking_20260616/images/019_10209552.jpg
20,10205204,アディクション,メイクアップ フィックス マイクロ ミスト,ミスト状化粧水,5.2,389,2494,"70ml・2,750円",2021/4/23,https://www.cosme.net/products/10205204/,https://www.cosme.com/products/detail.php?product_id=223509,https://cache-cdn.cosme.net/media/product/10205/skuimg-d_27047.jpg,data/cosme_fix_mist_ranking_20260616/images/020_10205204.jpg
21,10267782,コーセーコスメニエンス,メイク キープ ミスト EX ＋ 桜チェリー,ミスト状化粧水,5.3,420,817,"80ml・1,430円 (編集部調べ)",2025/1/16,https://www.cosme.net/products/10267782/,,https://cache-cdn.cosme.net/media/product/10267/skuimg_1018470.jpg,data/cosme_fix_mist_ranking_20260616/images/021_10267782.jpg
22,10234966,TIRTIR,MASK FIT MAKE-UP FIXER,ミスト状化粧水,4.9,1002,4440,"1,650円",2023/2/15,https://www.cosme.net/products/10234966/,https://www.cosme.com/products/detail.php?product_id=291029,https://cache-cdn.cosme.net/media/product/10234/skuimg-d_82069.jpg,data/cosme_fix_mist_ranking_20260616/images/022_10234966.jpg
23,10290419,SO NATURAL,オールデイブラーメイクアップセッティングフィクサー,,5.8,15,213,"75ml・2,750円",2026/3/1,https://www.cosme.net/products/10290419/,https://www.cosme.com/products/detail.php?product_id=402128,https://cache-cdn.cosme.net/media/product/10290/skuimg_1088327.jpg,data/cosme_fix_mist_ranking_20260616/images/023_10290419.jpg
24,10234707,シュウ ウエムラ,アンリミテッド メイクアップ フィックス ミスト マット,ミスト状化粧水,5.2,334,2878,"100ml・4,620円",2023/3/1,https://www.cosme.net/products/10234707/,https://www.cosme.com/products/detail.php?product_id=286186,https://cache-cdn.cosme.net/media/product/10234/skuimg_900556.jpg,data/cosme_fix_mist_ranking_20260616/images/024_10234707.jpg
25,10290148,メイベリン ニューヨーク,メイベリン SPステイ ダブルフィクサー スプレー,,4.4,61,462,"55mL(レフィル)・1,485円 / 55mL・1,650円",2026/2/10 (2026/3/28追加発売),https://www.cosme.net/products/10290148/,https://www.cosme.com/products/detail.php?product_id=400490,https://cache-cdn.cosme.net/media/product/10290/skuimg_1088926.jpg,data/cosme_fix_mist_ranking_20260616/images/025_10290148.jpg
26,10292125,DAISY DOLL by MARY QUANT,シルキー フィックス ミスト＜D＞クールタイプ,,4.9,18,73,"50ｍL・1,320円",2026/4/15,https://www.cosme.net/products/10292125/,https://www.cosme.com/products/detail.php?product_id=406380,https://cache-cdn.cosme.net/media/product/10292/skuimg_1104662.jpg,data/cosme_fix_mist_ranking_20260616/images/026_10292125.jpg
27,10295925,シュウ ウエムラ,アンリミテッド メイクアップ フィックス ミスト レッド,,5.4,16,491,"4,620円",2026/6/1 NEW,https://www.cosme.net/products/10295925/,https://www.cosme.com/products/detail.php?product_id=413111,https://cache-cdn.cosme.net/media/product/10295/skuimg_1106144.jpg,data/cosme_fix_mist_ranking_20260616/images/027_10295925.jpg
28,10204045,ディオール,ディオールスキン フォーエヴァー メイクアップ フィックス ミスト,ミスト状化粧水,4.6,170,1480,"100ml・6,270円",2021/3/5,https://www.cosme.net/products/10204045/,http://px.a8.net/svt/ejp?a8mat=2BYAMX+383JQQ+34I0+5YJRM&a8ejpredirect=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F490406409%3B297068597%3By,https://cache-cdn.cosme.net/media/product/10204/skuimg_1021212.jpg,data/cosme_fix_mist_ranking_20260616/images/028_10204045.jpg
