rank,product_id,brand,product_name,categories,rating,review_count,attention_count,capacity_price,release_date,product_url,shopping_url,image_url,image_file
27,10290892,ディオール,ディオール フォーエヴァー フルイド スキン ウェア,リキッドファンデーション,5.5,130,1644,"30mL・8,030円",2026/2/27,https://www.cosme.net/products/10290892/,https://www.cosme.com/products/detail.php?product_id=400650,https://cache-cdn.cosme.net/media/product/10290/skuimg_1090870.jpg,outputs/cosme_foundation_ranking_20260616/images/027_10290892.jpg
28,10276759,エクセル,エシリアル セラムコンシーラー,リキッドファンデーション / コンシーラー,4.9,583,5363,"1,760円",2025/8/19,https://www.cosme.net/products/10276759/,https://www.cosme.com/products/detail.php?product_id=377405,https://cache-cdn.cosme.net/media/product/10276/skuimg_1049246.jpg,outputs/cosme_foundation_ranking_20260616/images/028_10276759.jpg
29,10269668,ディオール,ディオールスキン フォーエヴァー イドラ グロウ クッション,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.6,683,9331,"12g・6,710円",2025/3/7,https://www.cosme.net/products/10269668/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10269668?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10269/skuimg_1025961.jpg,outputs/cosme_foundation_ranking_20260616/images/029_10269668.jpg
30,10176494,JUNGSAEMMOOL,エッセンシャルスキンヌーダークッション,リキッドファンデーション / クッションファンデ / その他ファンデーション,5.7,1393,12329,"14g・3,520円 / 14g*2・5,390円",2024/10/28 (2026/4/1追加発売),https://www.cosme.net/products/10176494/,https://www.cosme.com/products/detail.php?product_id=391943,https://cache-cdn.cosme.net/media/product/10176/skuimg_1120212.jpg,outputs/cosme_foundation_ranking_20260616/images/030_10176494.jpg
31,10248858,メイベリン ニューヨーク,メイベリン SPステイ ルミマット リキッド ファンデーション,リキッドファンデーション,4.8,1857,15302,"35mL・3,190円",2024/2/10 (2025/8/30追加発売),https://www.cosme.net/products/10248858/,https://www.cosme.com/products/detail.php?product_id=320402,https://cache-cdn.cosme.net/media/product/10248/skuimg_1099090.jpg,outputs/cosme_foundation_ranking_20260616/images/031_10248858.jpg
32,10202423,マキアージュ,ドラマティックパウダリー ＥＸ,パウダーファンデーション,5.2,4779,24418,"1セット・4,400円 / 9.3g(レフィル)・3,300円 / -・1,100円 / ケース・1,100円 (編集部調べ)",2021/2/21,https://www.cosme.net/products/10202423/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10202423?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10202/skuimg-d_22880.jpg,outputs/cosme_foundation_ranking_20260616/images/032_10202423.jpg
33,10290915,ByUR,バイユア セラムフィット フルカバー グロークッション V2,クッションファンデ,5.1,94,3489,"15g・3,960円",2026/3/12,https://www.cosme.net/products/10290915/,https://www.cosme.com/products/detail.php?product_id=404964,https://cache-cdn.cosme.net/media/product/10290/skuimg_1089955.jpg,outputs/cosme_foundation_ranking_20260616/images/033_10290915.jpg
34,10275726,コスメデコルテ,ゼン ウェア パウダーファンデーション,パウダーファンデーション,5.5,706,8987,"1個（スポンジ）・660円 / 1個（スポンジ付ケース）・1,650円 / 9g（レフィル）・6,050円",2025/8/21,https://www.cosme.net/products/10275726/,https://www.cosme.com/products/detail.php?product_id=376518,https://cache-cdn.cosme.net/media/product/10275/skuimg_1047053.jpg,outputs/cosme_foundation_ranking_20260616/images/034_10275726.jpg
35,10257228,クレ・ド・ポー ボーテ,タンプードルエクラII,パウダーファンデーション,5.5,820,14635,"8g(レフィル)・11,000円 / スポンジ・550円 / パンソー・2,750円 / ケース・3,300円",2024/7/21,https://www.cosme.net/products/10257228/,"javascript:tb_show('','/dialog/shopping-link/index/productId/10257228?KeepThis=true&TB_iframe=true&height=240&width=386')",https://cache-cdn.cosme.net/media/product/10257/skuimg_1001929.jpg,outputs/cosme_foundation_ranking_20260616/images/035_10257228.jpg
36,10289176,エレガンス,エアリー リクイッド ファンデーション,リキッドファンデーション,5.2,109,1162,"30ml・7,700円",2026/2/17,https://www.cosme.net/products/10289176/,https://www.cosme.com/products/detail.php?product_id=404710,https://cache-cdn.cosme.net/media/product/10289/skuimg_1084124.jpg,outputs/cosme_foundation_ranking_20260616/images/036_10289176.jpg
